key,title,attachment_key,filename
NWNHRIAS,AI-enabled RF-to-THz IC Design Space Discovery and Inverse Design Flow,W7X7RYT9,2025_Sengupta et al_AI-enabled RF-to-THz IC Design Space Dis.pdf
SDKCCR8K,"Deep Learning-Enabled Inverse Design of 30–94 GHz P<sub>sat,3dB</sub> SiGe PA Supporting Concurrent Multiband Operation at Multi-Gb/s",5ZJAPSMP,2022_Liu et al_Deep Learning-Enabled Inverse Design of.pdf
DQV3ZM5N,Inverse design of multilayered pixelated mm-wave power amplifiers,JFNXW8CY,2026_Chenna et al_Inverse design of multilayered pixelated.pdf
SFQ5SCTW,R-INN: An efficient reversible design model for microwave circuit design,KYVSI2IB,2025_Zhang et al_R-INN An efficient reversible design mo.pdf
HUJMTUUW,Performance-oriented broadband inverse design of frequency-selective surfaces using multibranch autoencoders,GPSKHSD4,2026_Jiang et al_Performance-oriented broadband inverse d.pdf
MGAZGNHU,End-to-end machine-learning framework for electromagnetic inverse design: From practical constraints to optimized structures,63IQYHS6,2025_Zhou et al_End-to-end machine-learning framework fo.pdf
J7P6SBX3,Algorithmic design of nonintuitive on-chip multilayered passive networks,3QMKSZ4S,2025_Chenna et al_Algorithmic design of nonintuitive on-ch.pdf
PQNMXUU5,Inference of Suitable for Required Specification Analog Circuit Topology using Deep Learning,4LPZR6UA,2018_Matsuba et al_Inference of Suitable for Required Speci.pdf
9GA23N8V,A Learning-Based Methodology for Microwave Passive Component Design,PD6UKHWD,2023_Ma et al_A Learning-Based Methodology for Microwa.pdf
R5QUQHRJ,Linearization of Quadrature Digital Power Amplifiers by Neural Network of ULR_LSTM: Unsupervised Learning Residual LSTM,KPA5HCDU,2025_Yang et al_Linearization of Quadrature Digital Powe.pdf
FUGFJGEE,Efficient Digital Predistortion Using Sparse Neural Network,NVJSI6XK,2020_Tanio et al_Efficient Digital Predistortion Using Sp.pdf
4TUWNRHM,Evaluation of the Applicability of Neural Networks to Suppress Harmonic Distortion of HF Power Amplifiers,AFWMTGDQ,2019_Pavlov et al_Evaluation of the Applicability of Neura.pdf
DJSBTKP4,SACPlace: Multi-Agent Deep Reinforcement Learning for Symmetry-Aware Analog Circuit Placement,C8KBV2ZC,2025_Cai et al_SACPlace Multi-Agent Deep Reinforcement.pdf
7BKV8WAZ,Analog Layout Placement for FinFET Technology Using Reinforcement Learning,JYDSF6PG,2021_Ahmadi et al_Analog Layout Placement for FinFET Techn.pdf
5JJ4FEHG,Fogging-Effect-Aware Mixed-Signal IC Placement with Reinforcement Learning,5ZWGMFM2,2022_Hajijafari et al_Fogging-Effect-Aware Mixed-Signal IC Pla.pdf
5KN6UMUT,Generative-Neural-Networks-Based PV-Aware Analog Layout Correction,CKL68SRW,2022_Ahmadi et al_Generative-Neural-Networks-Based PV-Awar.pdf
TD2UJDEX,High-Dimensional Many-Objective Bayesian Optimization for LDE-Aware Analog IC Sizing,CKHVMXT5,2022_Liao et al_High-Dimensional Many-Objective Bayesian.pdf
8VDRUKI3,A Parasitic Resistance Extraction Tool Leveraged by Image Processing,VRFRVY64,2022_Dias et al_A Parasitic Resistance Extraction Tool L.pdf
QR3EASTX,Block-Level Power Net Routing of Analog Circuit Using Reinforcement Learning,KRRJFQV3,2023_Kim et al_Block-Level Power Net Routing of Analog.pdf
8TFW5DA5,Practical Layout-Aware Analog/Mixed-Signal Design Automation with Bayesian Neural Networks,XDCXSCBK,2023_Budak et al_Practical Layout-Aware AnalogMixed-Sign.pdf
3QNVZUWM,AI-Enabled Layout Automation for Analog and RF IC: Current Status and Future Directions,E97YF2LK,2024_Wang et al_AI-Enabled Layout Automation for Analog.pdf
V8CDGSSX,Advanced Performance Estimation of Analog Layouts Using Convolutional Neural Networks,BFMQUVXH,2024_Golzan et al_Advanced Performance Estimation of Analo.pdf
EP3HH8RV,Design Space Exploration with Machine Learning Co-Optimization,ZQAACHIQ,2024_Chuang et al_Design Space Exploration with Machine Le.pdf
ANX3424C,Inverse Design of Broadband Optimal Power Amplifiers Enabled by Deep Learning,HBRTCMDZ,2025_Wang et al_Inverse Design of Broadband Optimal Powe.pdf
UNU7967A,Independent Digital Predistortion Parameters Estimation Using Adaptive Principal Component Analysis,TVA3ES24,2018_Lopez-Bueno et al_Independent Digital Predistortion Parame.pdf
VKHHITSD,Learning-based prediction of package power delivery network quality,GMMJBVUV,2019_Cao et al_Learning-based prediction of package pow.pdf
9XSXXPEE,Machine Learning-Driven Framework for Predicting Aging Induced Delay in CMOS Circuits,SNF25N6B,2026_Yogeshwaran et al_Machine Learning-Driven Framework for Pr.pdf
AJB7QNDG,Physics-Informed Machine Learning for Hybrid Optimization of Microwave and RF Devices,LPPCDIUF,2023_Liu et al_Physics-Informed Machine Learning for Hy.pdf
S8VEI4PE,Intrinsic Evolution of Truncated Puiseux Series on a Mixed-Signal Field-Programmable SoC,JCNTHSC2,2016_Thangavel et al_Intrinsic Evolution of Truncated Puiseux.pdf
URTS7MNF,Behavioral Modeling of GaN Doherty Power Amplifiers Using Memoryless Polar Domain Functions and Deep Neural Networks,HCVT2RUI,2020_Khawam et al_Behavioral Modeling of GaN Doherty Power.pdf
47MKISSN,A Generic and Efficient Globalized Kernel Mapping-Based Small-Signal Behavioral Modeling for GaN HEMT,NGMK5QW4,2020_Khusro et al_A Generic and Efficient Globalized Kerne.pdf
ZI83AWMP,A NARX-Inspired Dual-Branch Neural Network Calibration for Pipelined ADC,3UZP86Q3,2026_Zhu et al_A NARX-Inspired Dual-Branch Neural Netwo.pdf
HH982QRE,Parametric Fault Detection of Analogue Circuits Based on Optimized Support Vector Machine Classifier,7GYKXZIB,2018_Saleh et al_Parametric Fault Detection of Analogue C.pdf
