key,title,doi,status,abstract_preview
Q2IZ2UTR,A holistic methodology for system margining and jitter tolerance optimization in post-silicon validation,10.1109/tmtt.2015.2504099,no_pdf,
99JRK7TA,"Machine Learning-Based Defect Detection, Output Matching Assessment, and Performance Recentering of a 79-GHz Four-Way CMOS Power Amplifier",10.1109/TMTT.2025.3619021,no_pdf,
HUJMTUUW,Performance-oriented broadband inverse design of frequency-selective surfaces using multibranch autoencoders,10.1109/TMTT.2025.3633907,no_pdf,
8AP3FDI2,A spectral convolutional net for co-optimization of integrated voltage regulators and embedded inductors,10.1109/ICCAD45719.2019.8942109,no_pdf,
S6Q3CA53,Simulation and automated modeling of microwave circuits: State-of-the-art and emerging trends,10.1109/jmw.2020.3033780,no_pdf,
CSXKV7B4,Efficient Broadband Modeling of Microwave Devices with Machine Learning and Analytical Extension of Eigenvalues,10.1109/ICEAA49419.2022.9899975,no_pdf,
SDKCCR8K,"Deep Learning-Enabled Inverse Design of 30–94 GHz P<sub>sat,3dB</sub> SiGe PA Supporting Concurrent Multiband Operation at Multi-Gb/s",10.1109/LMWC.2022.3161979,no_pdf,
J7P6SBX3,Algorithmic design of nonintuitive on-chip multilayered passive networks,10.1109/IMS40360.2025.11103811,no_pdf,
MGAZGNHU,End-to-end machine-learning framework for electromagnetic inverse design: From practical constraints to optimized structures,10.1109/TMTT.2025.3583316,no_pdf,
RKJ62CL9,Deep-learning-based inverse-designed millimeter-wave passives and power amplifiers,10.1109/JSSC.2023.3276315,no_pdf,
SFQ5SCTW,R-INN: An efficient reversible design model for microwave circuit design,10.1109/TMTT.2025.3581947,no_pdf,
DQV3ZM5N,Inverse design of multilayered pixelated mm-wave power amplifiers,10.1109/JSSC.2026.3656334,no_pdf,
UNU7967A,Independent Digital Predistortion Parameters Estimation Using Adaptive Principal Component Analysis,10.1109/TMTT.2018.2870420,no_pdf,
XWCDXVUJ,INVITED: Reducing Time and Effort in IC Implementation: A Roadmap of Challenges and Solutions,10.1109/DAC.2018.8465871,no_pdf,
6DAMSPUU,Feedback-Driven Differential Evolution Model for Device Sizing Optimization in Analog Circuit Design,10.1109/ACCESS.2026.3676156,no_pdf,
DXXK35VK,RF Design-Oriented ACM Model Generation Using Parametric Test and Machine Learning Regression in 28nm FD-SOI CMOS Technology,10.1109/LASCAS67804.2026.11457152,no_pdf,
WZ4G6JK9,Application Driven Rapid Synthesis for Analog BIST Components,10.1109/MWSCAS54063.2022.9859392,no_pdf,
X4E3HQFT,RX Equalization for a High-Speed Channel based on Bayesian Active Learning using Dropout,10.1109/EPEPS48591.2020.9231471,no_pdf,
M267E3VC,A new nonlinear behavioral modeling technique for RF power transistors based on Bayesian inference,10.1109/MWSYM.2017.8058645,no_pdf,
HXWGWVP9,Intelligent and Interactive Analog Layout Design Automation,10.1109/ICSICT55466.2022.9963217,no_pdf,
625QWXEH,Application of Neural Networks to Reduce Distortion of RF Signals in Switch Mode Power Amplifiers,10.1109/EExPolytech50912.2020.9243973,no_pdf,
A6Q3EH6X,Prediction of Active Implantable Medical Device Electromagnetic Models Using a Neural Network,10.1109/APS/URSI47566.2021.9704511,no_pdf,
G6XCPP7B,Artificial Neural Network Modeling of Interdigital Capacitor Sensor for Oxygen Detection,10.1109/ICEST49890.2020.9232862,no_pdf,
E9KSS6M6,An Efficient Neural Network Macro-model for Electromagnetic Radiation Spurious Emission from Voltage-Variable Capacitors,10.1109/EMCEUROPE48519.2020.9245803,no_pdf,
P5ETR3IW,Automated E-circuit Designing and Characterization using Prominent Neural Network,10.1109/SCEECS48394.2020.85,no_pdf,
MNIEUGTJ,Design Automation of CMOS Op-Amps Using Statistical Geometric Programming,10.1109/ISCAS48785.2022.9937871,no_pdf,
TQ4PUCKP,An Intelligent Sensing Framework for Post-Manufacturing Performance Measurement and Healing of CSVCO,10.1109/TIM.2022.3225039,no_pdf,
XBKEW3P9,Machine-Learning Prediction of RF Band-Pass Filter Performance Using Large-Scale Vendor Data,10.1109/ICSPED65817.2026.11448539,no_pdf,
PHST2NPW,System and Component Design for Wireless Distributed Computing,10.1109/RFIT49453.2020.9226252,no_pdf,
236NXRKK,Performance Estimate of Multi-Terminal Dielectric Array Radiator using Machine Learning Techniques,10.1109/GCWCN66157.2025.11448537,no_pdf,
PEQQTPCD,A Neural Network-Based Model of Radio Frequency Energy Harvesting Characteristics in a Self-Powered Food Monitoring System,10.1109/JSEN.2019.2922346,no_pdf,
CSPB5FGV,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,10.1109/DAC18072.2020.9218757,no_pdf,
9G2IMDTV,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,10.1109/DAC18072.2020.9218757,no_pdf,
XPFI8A5E,An Accuracy Improvement of the Neuromorphic Functional Models by Using the Parallel ANN Architecture,10.1109/EWDTS50664.2020.9225034,no_pdf,
VAV6CMXF,A robust calibration and supervised machine learning reliability framework for digitally-assisted self-healing RFICs,10.1109/MWSCAS.2017.8053129,no_pdf,
